==============================================================================
==============================================================================
 Apr. 19 2014                  LANDSAT 5                       Time: 12:12
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404185054_00002                          Path / Row - 224 / 63
Reference Image: L51CUB1088227120102_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 98.5%
Rank   2 --  1.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240630804   -3.66605    -49.63307    -0.01     -0.37     0.37     1 
2240630810   -3.66578    -49.46779    -0.08     -0.10     0.13     1 
2240630813   -3.66563    -49.38516     0.05      0.07     0.09     1 
2240630814   -3.66559    -49.35761    -0.16     -0.22     0.27     1 
2240630816   -3.66548    -49.30253    -0.26     -0.26     0.37     1 
2240630844   -3.69198    -50.59738    -0.27     -0.02     0.27     1 
2240630848   -3.69192    -50.48715    -0.12     -0.19     0.23     1 
2240630849   -3.69190    -50.45960    -0.08     -0.11     0.14     1 
2240630850   -3.69189    -50.43204    -0.30     -0.44     0.54     2 
2240630851   -3.69187    -50.40449    -0.23     -0.36     0.42     1 
2240630852   -3.69185    -50.37694    -0.24     -0.50     0.55     2 
2240630853   -3.69183    -50.34938    -0.12     -0.30     0.32     1 
2240630854   -3.69181    -50.32183    -0.18     -0.23     0.29     1 
2240630855   -3.69179    -50.29427    -0.01     -0.19     0.19     1 
2240630856   -3.69176    -50.26672    -0.19     -0.10     0.22     1 
2240630857   -3.69174    -50.23916    -0.17     -0.04     0.18     1 
2240630858   -3.69172    -50.21161    -0.12     -0.07     0.14     1 
2240630859   -3.69169    -50.18406    -0.12     -0.05     0.13     1 
2240630860   -3.69166    -50.15650    -0.10     -0.04     0.11     1 
2240630861   -3.69164    -50.12895    -0.17     -0.06     0.18     1 
2240630862   -3.69161    -50.10140    -0.16     -0.03     0.16     1 
2240630863   -3.69158    -50.07384     0.15      0.12     0.19     1 
2240630866   -3.69149    -49.99119    -0.21      0.06     0.22     1 
2240630868   -3.69143    -49.93608    -0.13     -0.27     0.30     1 
2240630869   -3.69139    -49.90853    -0.08     -0.19     0.21     1 
2240630871   -3.69132    -49.85343    -0.09      0.01     0.09     1 
2240630873   -3.69125    -49.79833    -0.15      0.02     0.15     1 
2240630874   -3.69121    -49.77078    -0.07      0.15     0.17     1 
2240630876   -3.69114    -49.71568    -0.23     -0.01     0.23     1 
2240630877   -3.69109    -49.68813     0.25      0.06     0.26     1 
2240630882   -3.69088    -49.55039    -0.04      0.18     0.18     1 
2240630884   -3.69079    -49.49530    -0.01     -0.27     0.27     1 
2240630888   -3.69060    -49.38511    -0.05      0.00     0.05     1 
2240630889   -3.69054    -49.35757    -0.12     -0.29     0.31     1 
2240630919   -3.71694    -50.59737     0.05     -0.11     0.12     1 
2240630923   -3.71689    -50.48714    -0.09     -0.04     0.10     1 
2240630925   -3.71685    -50.43203    -0.24     -0.28     0.36     1 
2240630927   -3.71682    -50.37692    -0.33     -0.27     0.42     1 
2240630929   -3.71678    -50.32181    -0.19     -0.19     0.27     1 
2240630930   -3.71675    -50.29425    -0.18     -0.21     0.28     1 
2240630931   -3.71673    -50.26670    -0.21     -0.23     0.31     1 
2240630933   -3.71668    -50.21159    -0.19     -0.27     0.33     1 
2240630934   -3.71666    -50.18403    -0.23     -0.30     0.38     1 
2240630935   -3.71663    -50.15648    -0.16     -0.21     0.26     1 
2240630936   -3.71660    -50.12893    -0.16     -0.16     0.22     1 
2240630937   -3.71658    -50.10137    -0.15     -0.10     0.17     1 
2240630938   -3.71655    -50.07382    -0.05     -0.05     0.07     1 
2240630939   -3.71652    -50.04626    -0.05     -0.01     0.06     1 
2240630942   -3.71643    -49.96361    -0.00      0.03     0.03     1 
2240630943   -3.71639    -49.93605    -0.08      0.11     0.14     1 
2240630945   -3.71632    -49.88095    -0.05     -0.00     0.05     1 
2240630946   -3.71629    -49.85340    -0.13     -0.15     0.19     1 
2240630948   -3.71622    -49.79830    -0.35     -0.14     0.37     1 
2240630949   -3.71618    -49.77075     0.25     -0.12     0.27     1 
2240630950   -3.71614    -49.74320     0.34      0.17     0.38     1 
2240630951   -3.71610    -49.71565    -0.14      0.17     0.23     1 
2240630952   -3.71606    -49.68809    -0.02      0.02     0.02     1 
2240630989   -3.74197    -50.73514    -0.22      0.02     0.22     1 
2240630997   -3.74187    -50.51468    -0.25     -0.20     0.32     1 
2240630998   -3.74186    -50.48713    -0.04     -0.16     0.17     1 
2240631000   -3.74182    -50.43201    -0.17     -0.13     0.22     1 
2240631002   -3.74178    -50.37690    -0.04     -0.04     0.06     1 
2240631003   -3.74176    -50.34934    -0.13     -0.08     0.15     1 
2240631004   -3.74174    -50.32179    -0.17     -0.13     0.21     1 
2240631005   -3.74172    -50.29423    -0.15     -0.20     0.25     1 
2240631006   -3.74170    -50.26668    -0.23     -0.22     0.31     1 
2240631007   -3.74167    -50.23912    -0.23     -0.21     0.31     1 
2240631008   -3.74165    -50.21157    -0.21     -0.20     0.29     1 
2240631009   -3.74162    -50.18401    -0.15     -0.17     0.23     1 
2240631010   -3.74160    -50.15646    -0.15     -0.15     0.21     1 
2240631011   -3.74157    -50.12890    -0.14     -0.12     0.19     1 
2240631012   -3.74154    -50.10135    -0.24     -0.22     0.32     1 
2240631013   -3.74152    -50.07379    -0.18     -0.21     0.27     1 
2240631014   -3.74149    -50.04624    -0.21     -0.24     0.32     1 
2240631015   -3.74146    -50.01868    -0.21     -0.27     0.35     1 
2240631017   -3.74139    -49.96358    -0.13     -0.18     0.22     1 
2240631018   -3.74136    -49.93602    -0.19      0.01     0.19     1 
2240631019   -3.74132    -49.90847    -0.11      0.12     0.16     1 
2240631020   -3.74129    -49.88092     0.05      0.25     0.25     1 
2240631021   -3.74125    -49.85337     0.05      0.11     0.12     1 
2240631022   -3.74122    -49.82581     0.08      0.09     0.12     1 
2240631023   -3.74118    -49.79826     0.02     -0.22     0.22     1 
2240631024   -3.74114    -49.77071    -0.01      0.11     0.11     1 
2240631026   -3.74106    -49.71561     0.37      0.22     0.44     1 
2240631029   -3.74094    -49.63296    -0.03      0.38     0.38     1 
2240631033   -3.74076    -49.52276     0.07     -0.12     0.13     1 
2240631034   -3.74071    -49.49521    -0.09     -0.17     0.19     1 
2240631068   -3.76689    -50.62490    -0.04      0.04     0.05     1 
